Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_1_logIn\..\dataPool\UsersDataAdvantage.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(264): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(264): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(268): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(268): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(272): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(272): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 13,4259 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Action.c(272): Notify: Transaction "UC_1_logIn" ended with a "Stop" status (Duration: 28,6818 Think Time: 5,0015 Wasted Time: 0,0089).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(272): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/525751637" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(264): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(264): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(268): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(268): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(272): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(272): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 13,2058 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Action.c(272): Notify: Transaction "UC_1_logIn" ended with a "Stop" status (Duration: 33,0237 Think Time: 5,0019 Wasted Time: 0,0078).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(272): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/444077019" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(264): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(264): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(268): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(268): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(272): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(272): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 102,2540 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Action.c(272): Notify: Transaction "UC_1_logIn" ended with a "Stop" status (Duration: 118,5494 Think Time: 5,0089 Wasted Time: 0,0107).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(272): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/441289135" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(264): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(264): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(268): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(268): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(272): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(272): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 58,2330 Wasted Time: 0,0004).	[MsgId: MMSG-16871]
Action.c(272): Notify: Transaction "UC_1_logIn" ended with a "Stop" status (Duration: 79,6742 Think Time: 5,0151 Wasted Time: 0,0093).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(272): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/150106441" failed  	[MsgId: MERR-27760]
