Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_2_buyItem\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(569): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(569): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(573): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(573): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(580): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(580): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(582): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(582): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(569): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(569): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(573): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(573): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(580): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(580): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(582): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(582): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(582): web_url("559529690_3") was successful, 257 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(595): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(595): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(598): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(598): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(605): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(605): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(608): web_custom_request("shippingcost") started  	[MsgId: MMSG-26355]
Action.c(608): Error -35049: No match found for the requested parameter "timeStamp". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
Action.c(608): Error -26366: "Text=code":"Ok" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(582): web_url("559529690_3") was successful, 300 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(595): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(595): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(598): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(598): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(605): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(605): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(608): web_custom_request("shippingcost") started  	[MsgId: MMSG-26355]
Action.c(608): Error -35049: No match found for the requested parameter "timeStamp". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
Action.c(608): Error -26366: "Text=code":"Ok" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(271): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(271): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(275): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(275): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(279): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(279): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 2,7129 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Action.c(279): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 16,2602 Think Time: 5,0018 Wasted Time: 0,0093).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(279): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/124245413" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(569): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(573): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(573): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(580): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(580): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(582): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(582): Notify: Transaction "cheakout" ended with a "Stop" status (Duration: 6,2342 Wasted Time: 0,0004).	[MsgId: MMSG-16871]
Action.c(582): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 50,9861 Think Time: 25,0496 Wasted Time: 0,0094).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(582): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/902105583" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(271): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(271): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(275): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(275): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(279): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(279): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 12,8675 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Action.c(279): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 26,3481 Think Time: 5,0017 Wasted Time: 0,0128).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(279): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/320049428" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(177): web_url("search") started  	[MsgId: MMSG-26355]
Action.c(177): Registered web_reg_find successful for "Text=description" (count=2)  	[MsgId: MMSG-26364]
Action.c(177): web_url("search") was successful, 351 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(187): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(187): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(190): web_url("popularProducts.json") started  	[MsgId: MMSG-26355]
Action.c(190): Notify: Transaction "Index" ended with a "Stop" status (Duration: 8,3054 Wasted Time: 0,0108).	[MsgId: MMSG-16871]
Action.c(190): Notify: Transaction "UC_2_buyItem" ended with a "Stop" status (Duration: 8,3055 Wasted Time: 0,0108).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
