Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_2_buyItem\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":957372986" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":24" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(588): Registered web_reg_find successful for "Text=userId":150106441" (count=1)  	[MsgId: MMSG-26364]
Action.c(588): Error -26366: "Text=productId":16" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(574): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(578): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(578): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(585): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(586): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(586): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(588): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(588): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
