Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_2_buyItem\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(460): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(463): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(463): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(469): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(469): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(475): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(475): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(481): web_submit_data("414141") started  	[MsgId: MMSG-26355]
Action.c(481): Error -35049: No match found for the requested parameter "ColorName". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
Action.c(481): Error -35049: No match found for the requested parameter "HasWar". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
Action.c(481): Error -26366: "Text=productId":18" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(558): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(562): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(562): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(569): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(569): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(570): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(570): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(572): web_url("559529690_3") started  	[MsgId: MMSG-26355]
Action.c(572): Error -35049: No match found for the requested parameter "price". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(572): Registered web_reg_find successful for "Text=userId":892403873" (count=1)  	[MsgId: MMSG-26364]
Action.c(572): Error -26366: "Text=productId":18" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(717): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(719): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(719): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(719): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(722): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(722): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(725): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(725): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/570517106"  	[MsgId: MERR-26612]
Action.c(725): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(717): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(719): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(719): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(719): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(722): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(722): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(725): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(725): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/952698632"  	[MsgId: MERR-26612]
Action.c(725): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(717): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(719): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(719): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(719): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(722): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(722): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(725): web_custom_request("Oplata") started  	[MsgId: MMSG-26355]
Action.c(725): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://www.advantageonlineshopping.com/order/api/v1/orders/users/525751637"  	[MsgId: MERR-26612]
Action.c(725): Error -26366: "Text=success":true" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(372): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(381): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(381): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(386): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(386): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(395): web_url("20") started  	[MsgId: MMSG-26355]
Action.c(395): Registered web_reg_find successful for "Text=productId":13" (count=1)  	[MsgId: MMSG-26364]
Action.c(395): web_url("20") was successful, 405 body bytes, 375 header bytes  	[MsgId: MMSG-26386]
Action.c(414): Error (-17991): Failed to add item to mfifo data structure.	[MsgId: MERR-17991]
End auto log messages stack.	[MsgId: MMSG-10544]


