Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_3_deleteMyOrder\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 14.	[MsgId: MMSG-10545]
Action.c(344): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(347): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(347): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(354): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(354): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(358): web_custom_request("remove") started  	[MsgId: MMSG-26355]
Action.c(358): Notify: Transaction "Remove" ended with a "Stop" status (Duration: 1,3989 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(358): Notify: Transaction "Uc_3_delete" ended with a "Stop" status (Duration: 54,3113 Think Time: 15,0251 Wasted Time: 0,0104).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(358): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/orders/history/users/952698632/7492548264" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 13.	[MsgId: MMSG-10545]
Action.c(293): Notify: Transaction "logIn" ended with a "Pass" status (Duration: 16,3898 Wasted Time: 0,0004).	[MsgId: MMSG-16871]
Action.c(295): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(297): Notify: Transaction "MyOrder" started.	[MsgId: MMSG-16999]
Action.c(299): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(299): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(302): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(302): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(313): web_url("559529690_2") started  	[MsgId: MMSG-26355]
Action.c(313): Notify: Transaction "MyOrder" ended with a "Stop" status (Duration: 0,1577 Wasted Time: 0,0001).	[MsgId: MMSG-16871]
Action.c(313): Notify: Transaction "Uc_3_delete" ended with a "Stop" status (Duration: 35,0924 Think Time: 10,0139 Wasted Time: 0,0080).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(313): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/orders/history/lines/users/658121218" failed  	[MsgId: MERR-27760]
