Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_3_deleteMyOrder\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 13.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 10.	[MsgId: MMSG-10545]
Action.c(270): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(270): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(274): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(274): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(278): web_url("Cartmb") started  	[MsgId: MMSG-26355]
Action.c(278): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 1,8228 Wasted Time: 0,0003).	[MsgId: MMSG-16871]
Action.c(278): Notify: Transaction "Uc_3_delete" ended with a "Stop" status (Duration: 15,4108 Think Time: 5,0081 Wasted Time: 0,0085).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(278): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/658121218" failed  	[MsgId: MERR-27760]
Action.c(225): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(232): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(232): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(239): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(239): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(243): web_custom_request("AccountLoginRequest") started  	[MsgId: MMSG-26355]
Action.c(243): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 1,5917 Wasted Time: 0,0001).	[MsgId: MMSG-16871]
Action.c(243): Notify: Transaction "Uc_3_delete" ended with a "Stop" status (Duration: 15,2344 Think Time: 5,0030 Wasted Time: 0,0070).	[MsgId: MMSG-16870]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(243): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest" failed  	[MsgId: MERR-27760]
