Error: missing newline in C:\Users\wing2\Documents\VuGen\Scripts\UC_4_RegNewUser\..\dataPool\PayMethod.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 11.	[MsgId: MMSG-10545]
Action.c(258): web_add_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(261): web_custom_request("GetCountriesRequest") started  	[MsgId: MMSG-26355]
Action.c(261): web_custom_request("GetCountriesRequest") was successful, 4184 body bytes, 761 header bytes  	[MsgId: MMSG-26386]
Action.c(274): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(274): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(277): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(277): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(282): web_custom_request("AccountCreateRequest") started  	[MsgId: MMSG-26355]
Action.c(282): Error -26366: "Text=<ns2:success>true</ns2:success>" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 17.	[MsgId: MMSG-10545]
Action.c(258): web_add_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(261): web_custom_request("GetCountriesRequest") started  	[MsgId: MMSG-26355]
Action.c(261): web_custom_request("GetCountriesRequest") was successful, 4184 body bytes, 761 header bytes  	[MsgId: MMSG-26386]
Action.c(274): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(274): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(277): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(277): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(282): web_custom_request("AccountCreateRequest") started  	[MsgId: MMSG-26355]
Action.c(282): Error -26366: "Text=<ns2:success>true</ns2:success>" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 21.	[MsgId: MMSG-10545]
Action.c(252): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(255): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(255): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(258): web_add_auto_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(258): web_add_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(261): web_custom_request("GetCountriesRequest") started  	[MsgId: MMSG-26355]
Action.c(261): Notify: Transaction "registration" ended with a "Stop" status (Duration: 0,3284 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(261): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/GetCountriesRequest" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 19.	[MsgId: MMSG-10545]
Action.c(371): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(371): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(374): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(374): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(377): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 1,5080 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 19.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 17.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 19.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 19.	[MsgId: MMSG-10545]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(381): Connection to www.advantageonlineshopping.com:443 closed after being inactive for 61 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(381): Connection to www.googletagmanager.com:443 closed after being inactive for 61 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(343): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 4,2813 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Action.c(343): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Action.c(346): web_reg_find started  	[MsgId: MMSG-26355]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(346): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Action.c(350): web_url("cart") started  	[MsgId: MMSG-26355]
Action.c(343): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(343): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(346): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(346): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(350): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 14,1291 Wasted Time: 0,0005).	[MsgId: MMSG-16871]
Action.c(350): web_url("cart") started  	[MsgId: MMSG-26355]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(350): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/256505664" failed  	[MsgId: MERR-27760]
Action.c(350): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 28,0859 Wasted Time: 0,0002).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(350): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/507463959" failed  	[MsgId: MERR-27760]
Action.c(371): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(371): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(374): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(374): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(377): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Start auto log messages stack - Iteration 18.	[MsgId: MMSG-10545]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 2,8947 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Action.c(343): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(343): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(346): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(346): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(350): web_url("cart") started  	[MsgId: MMSG-26355]
Action.c(350): Notify: Transaction "logIn" ended with a "Stop" status (Duration: 34,9060 Wasted Time: 0,0003).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(350): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/403064527" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 18.	[MsgId: MMSG-10545]
Start auto log messages stack - Iteration 20.	[MsgId: MMSG-10545]
Action.c(371): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(371): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(371): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(371): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(374): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(374): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(374): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(374): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(377): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(377): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 1,3198 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 0,0008 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Start auto log messages stack - Iteration 19.	[MsgId: MMSG-10545]
Action.c(371): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(371): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(374): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(374): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(377): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(377): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(381): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(381): Notify: Transaction "logout" ended with a "Stop" status (Duration: 1,8022 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Abort was called from an action.	[MsgId: MMSG-10447]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Action.c(381): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
